,load,ohms
0,"[' 2024-04-29 14:46:57.336155', ' 0.006']","[' 2024-04-29 14:46:57.336155', ' 165752.892']"
1,"[' 2024-04-29 14:46:57.474367', ' 0.006']","[' 2024-04-29 14:46:57.474367', ' 165787.214']"
2,"[' 2024-04-29 14:46:57.573890', ' 0.006']","[' 2024-04-29 14:46:57.573890', ' 165899.768']"
3,"[' 2024-04-29 14:46:57.678750', ' 0.006']","[' 2024-04-29 14:46:57.678750', ' 165973.12']"
4,"[' 2024-04-29 14:46:57.774705', ' 0.006']","[' 2024-04-29 14:46:57.774705', ' 165960.842']"
5,"[' 2024-04-29 14:46:57.876411', ' 0.006']","[' 2024-04-29 14:46:57.876411', ' 166146.46']"
6,"[' 2024-04-29 14:46:57.978903', ' 0.006']","[' 2024-04-29 14:46:57.978903', ' 166313.451']"
7,"[' 2024-04-29 14:46:58.082039', ' 0.006']","[' 2024-04-29 14:46:58.082039', ' 166054.808']"
8,"[' 2024-04-29 14:46:58.178596', ' 0.006']","[' 2024-04-29 14:46:58.178596', ' 166013.245']"
9,"[' 2024-04-29 14:46:58.278606', ' 0.006']","[' 2024-04-29 14:46:58.278606', ' 166070.308']"
10,"[' 2024-04-29 14:46:58.379847', ' 0.006']","[' 2024-04-29 14:46:58.379847', ' 166288.743']"
11,"[' 2024-04-29 14:46:58.475552', ' 0.006']","[' 2024-04-29 14:46:58.475552', ' 165830.598']"
12,"[' 2024-04-29 14:46:58.575832', ' 0.006']","[' 2024-04-29 14:46:58.575832', ' 166146.824']"
13,"[' 2024-04-29 14:46:58.679019', ' 0.006']","[' 2024-04-29 14:46:58.679019', ' 166368.169']"
14,"[' 2024-04-29 14:46:58.779372', ' 0.006']","[' 2024-04-29 14:46:58.779372', ' 166098.665']"
15,"[' 2024-04-29 14:46:58.875812', ' 0.006']","[' 2024-04-29 14:46:58.875812', ' 166179.42']"
16,"[' 2024-04-29 14:46:58.978784', ' 0.006']","[' 2024-04-29 14:46:58.978784', ' 166417.725']"
17,"[' 2024-04-29 14:46:59.078985', ' 0.006']","[' 2024-04-29 14:46:59.078985', ' 166205.636']"
18,"[' 2024-04-29 14:46:59.181659', ' 0.006']","[' 2024-04-29 14:46:59.181659', ' 166037.61']"
19,"[' 2024-04-29 14:46:59.276239', ' 0.006']","[' 2024-04-29 14:46:59.276239', ' 166140.488']"
20,"[' 2024-04-29 14:46:59.379276', ' 0.006']","[' 2024-04-29 14:46:59.379276', ' 166125.724']"
21,"[' 2024-04-29 14:46:59.481366', ' 0.006']","[' 2024-04-29 14:46:59.481366', ' 166418.158']"
22,"[' 2024-04-29 14:46:59.574677', ' 0.006']","[' 2024-04-29 14:46:59.574677', ' 166165.434']"
23,"[' 2024-04-29 14:46:59.676452', ' 0.006']","[' 2024-04-29 14:46:59.676452', ' 166086.071']"
24,"[' 2024-04-29 14:46:59.775734', ' 0.006']","[' 2024-04-29 14:46:59.775734', ' 166032.213']"
25,"[' 2024-04-29 14:46:59.880136', ' 0.006']","[' 2024-04-29 14:46:59.880136', ' 166162.265']"
26,"[' 2024-04-29 14:46:59.979024', ' 0.006']","[' 2024-04-29 14:46:59.979024', ' 165087.441']"
27,"[' 2024-04-29 14:47:00.075411', ' 0.006']","[' 2024-04-29 14:47:00.075411', ' 165374.771']"
28,"[' 2024-04-29 14:47:00.178556', ' 0.006']","[' 2024-04-29 14:47:00.178556', ' 165437.144']"
29,"[' 2024-04-29 14:47:00.283040', ' 0.006']","[' 2024-04-29 14:47:00.283040', ' 165125.376']"
30,"[' 2024-04-29 14:47:00.378090', ' 0.005']","[' 2024-04-29 14:47:00.378090', ' 165320.836']"
31,"[' 2024-04-29 14:47:00.475489', ' 0.005']","[' 2024-04-29 14:47:00.475489', ' 165410.109']"
32,"[' 2024-04-29 14:47:00.578814', ' 0.005']","[' 2024-04-29 14:47:00.578814', ' 165109.249']"
33,"[' 2024-04-29 14:47:00.677738', ' 0.005']","[' 2024-04-29 14:47:00.677738', ' 165459.141']"
34,"[' 2024-04-29 14:47:00.774484', ' 0.006']","[' 2024-04-29 14:47:00.774484', ' 165538.551']"
35,"[' 2024-04-29 14:47:00.875243', ' 0.006']","[' 2024-04-29 14:47:00.875243', ' 165634.737']"
36,"[' 2024-04-29 14:47:00.979092', ' 0.006']","[' 2024-04-29 14:47:00.979092', ' 165575.507']"
37,"[' 2024-04-29 14:47:01.077409', ' 0.006']","[' 2024-04-29 14:47:01.077409', ' 165562.663']"
38,"[' 2024-04-29 14:47:01.191817', ' 0.006']","[' 2024-04-29 14:47:01.191817', ' 165721.568']"
39,"[' 2024-04-29 14:47:01.297624', ' 0.006']","[' 2024-04-29 14:47:01.297624', ' 165987.556']"
40,"[' 2024-04-29 14:47:01.397928', ' 0.006']","[' 2024-04-29 14:47:01.397928', ' 165305.761']"
41,"[' 2024-04-29 14:47:01.497551', ' 0.006']","[' 2024-04-29 14:47:01.497551', ' 165572.638']"
42,"[' 2024-04-29 14:47:01.600295', ' 0.006']","[' 2024-04-29 14:47:01.600295', ' 164868.537']"
43,"[' 2024-04-29 14:47:01.701147', ' 0.006']","[' 2024-04-29 14:47:01.701147', ' 164902.435']"
44,"[' 2024-04-29 14:47:01.799490', ' 0.006']","[' 2024-04-29 14:47:01.799490', ' 164861.304']"
45,"[' 2024-04-29 14:47:01.898172', ' 0.006']","[' 2024-04-29 14:47:01.898172', ' 165293.664']"
46,"[' 2024-04-29 14:47:01.997454', ' 0.006']","[' 2024-04-29 14:47:01.997454', ' 165386.057']"
47,"[' 2024-04-29 14:47:02.092097', ' 0.006']","[' 2024-04-29 14:47:02.092097', ' 165151.068']"
48,"[' 2024-04-29 14:47:02.213616', ' 0.006']","[' 2024-04-29 14:47:02.213616', ' 165155.466']"
49,"[' 2024-04-29 14:47:02.413070', ' 0.006']","[' 2024-04-29 14:47:02.413070', ' 164761.947']"
50,"[' 2024-04-29 14:47:02.619679', ' 0.006']","[' 2024-04-29 14:47:02.619679', ' 165166.427']"
51,"[' 2024-04-29 14:47:02.804778', ' 0.006']","[' 2024-04-29 14:47:02.804778', ' 165077.269']"
52,"[' 2024-04-29 14:47:03.004501', ' 0.006']","[' 2024-04-29 14:47:03.004501', ' 164766.735']"
53,"[' 2024-04-29 14:47:03.212829', ' 0.006']","[' 2024-04-29 14:47:03.212829', ' 165009.186']"
54,"[' 2024-04-29 14:47:03.411476', ' 0.006']","[' 2024-04-29 14:47:03.411476', ' 164584.088']"
55,"[' 2024-04-29 14:47:03.617801', ' 0.006']","[' 2024-04-29 14:47:03.617801', ' 164413.904']"
56,"[' 2024-04-29 14:47:03.816709', ' 0.006']","[' 2024-04-29 14:47:03.816709', ' 164718.516']"
57,"[' 2024-04-29 14:47:04.017874', ' 0.006']","[' 2024-04-29 14:47:04.017874', ' 164625.061']"
58,"[' 2024-04-29 14:47:04.205154', ' 0.006']","[' 2024-04-29 14:47:04.205154', ' 164930.011']"
59,"[' 2024-04-29 14:47:04.406078', ' 0.006']","[' 2024-04-29 14:47:04.406078', ' 165067.746']"
60,"[' 2024-04-29 14:47:04.616038', ' 0.006']","[' 2024-04-29 14:47:04.616038', ' 164948.226']"
61,"[' 2024-04-29 14:47:04.804609', ' 0.006']","[' 2024-04-29 14:47:04.804609', ' 164010.837']"
62,"[' 2024-04-29 14:47:05.017114', ' 0.006']","[' 2024-04-29 14:47:05.017114', ' 164369.978']"
63,"[' 2024-04-29 14:47:05.211673', ' 0.006']","[' 2024-04-29 14:47:05.211673', ' 164773.749']"
64,"[' 2024-04-29 14:47:05.406246', ' 0.006']","[' 2024-04-29 14:47:05.406246', ' 164310.625']"
65,"[' 2024-04-29 14:47:05.616053', ' 0.006']","[' 2024-04-29 14:47:05.616053', ' 164655.265']"
66,"[' 2024-04-29 14:47:05.804140', ' 0.006']","[' 2024-04-29 14:47:05.804140', ' 164707.808']"
67,"[' 2024-04-29 14:47:06.005550', ' 0.006']","[' 2024-04-29 14:47:06.005550', ' 164702.802']"
68,"[' 2024-04-29 14:47:06.211423', ' 0.006']","[' 2024-04-29 14:47:06.211423', ' 164869.814']"
69,"[' 2024-04-29 14:47:06.409531', ' 0.006']","[' 2024-04-29 14:47:06.409531', ' 165475.0']"
70,"[' 2024-04-29 14:47:06.618338', ' 0.006']","[' 2024-04-29 14:47:06.618338', ' 165441.085']"
71,"[' 2024-04-29 14:47:06.814336', ' 0.006']","[' 2024-04-29 14:47:06.814336', ' 165618.837']"
72,"[' 2024-04-29 14:47:07.005740', ' 0.006']","[' 2024-04-29 14:47:07.005740', ' 165936.476']"
73,"[' 2024-04-29 14:47:07.208114', ' 0.006']","[' 2024-04-29 14:47:07.208114', ' 165448.708']"
74,"[' 2024-04-29 14:47:07.412803', ' 0.006']","[' 2024-04-29 14:47:07.412803', ' 165260.236']"
75,"[' 2024-04-29 14:47:07.616349', ' 0.006']","[' 2024-04-29 14:47:07.616349', ' 164204.195']"
76,"[' 2024-04-29 14:47:07.814196', ' 0.006']","[' 2024-04-29 14:47:07.814196', ' 163006.967']"
77,"[' 2024-04-29 14:47:08.003965', ' 0.006']","[' 2024-04-29 14:47:08.003965', ' 162974.137']"
78,"[' 2024-04-29 14:47:08.204200', ' 0.006']","[' 2024-04-29 14:47:08.204200', ' 162820.83']"
79,"[' 2024-04-29 14:47:08.402446', ' 0.006']","[' 2024-04-29 14:47:08.402446', ' 163153.467']"
80,"[' 2024-04-29 14:47:08.609678', ' 0.006']","[' 2024-04-29 14:47:08.609678', ' 164254.462']"
81,"[' 2024-04-29 14:47:08.818352', ' 0.006']","[' 2024-04-29 14:47:08.818352', ' 164036.046']"
82,"[' 2024-04-29 14:47:09.013513', ' 0.006']","[' 2024-04-29 14:47:09.013513', ' 164632.645']"
