,load,ohms
0,"[' 2024-04-29 13:56:46.820518', ' 0.005']","[' 2024-04-29 13:56:46.820518', ' 348750.002']"
1,"[' 2024-04-29 13:56:46.929669', ' 0.005']","[' 2024-04-29 13:56:46.929669', ' 347854.52']"
2,"[' 2024-04-29 13:56:47.025375', ' 0.005']","[' 2024-04-29 13:56:47.025375', ' 348933.076']"
3,"[' 2024-04-29 13:56:47.120474', ' 0.005']","[' 2024-04-29 13:56:47.120474', ' 349517.637']"
4,"[' 2024-04-29 13:56:47.233611', ' 0.005']","[' 2024-04-29 13:56:47.233611', ' 348889.888']"
5,"[' 2024-04-29 13:56:47.325943', ' 0.005']","[' 2024-04-29 13:56:47.325943', ' 347949.092']"
6,"[' 2024-04-29 13:56:47.425033', ' 0.005']","[' 2024-04-29 13:56:47.425033', ' 349303.433']"
7,"[' 2024-04-29 13:56:47.525365', ' 0.005']","[' 2024-04-29 13:56:47.525365', ' 350176.725']"
8,"[' 2024-04-29 13:56:47.625607', ' 0.005']","[' 2024-04-29 13:56:47.625607', ' 348990.998']"
9,"[' 2024-04-29 13:56:47.724953', ' 0.005']","[' 2024-04-29 13:56:47.724953', ' 349219.155']"
10,"[' 2024-04-29 13:56:47.831708', ' 0.005']","[' 2024-04-29 13:56:47.831708', ' 349119.634']"
11,"[' 2024-04-29 13:56:47.925474', ' 0.005']","[' 2024-04-29 13:56:47.925474', ' 348663.015']"
12,"[' 2024-04-29 13:56:48.020861', ' 0.005']","[' 2024-04-29 13:56:48.020861', ' 349273.099']"
13,"[' 2024-04-29 13:56:48.125621', ' 0.005']","[' 2024-04-29 13:56:48.125621', ' 348842.923']"
14,"[' 2024-04-29 13:56:48.232898', ' 0.005']","[' 2024-04-29 13:56:48.232898', ' 348042.239']"
15,"[' 2024-04-29 13:56:48.329697', ' 0.005']","[' 2024-04-29 13:56:48.329697', ' 348731.891']"
16,"[' 2024-04-29 13:56:48.425204', ' 0.005']","[' 2024-04-29 13:56:48.425204', ' 349586.706']"
17,"[' 2024-04-29 13:56:48.529748', ' 0.005']","[' 2024-04-29 13:56:48.529748', ' 350168.597']"
18,"[' 2024-04-29 13:56:48.629663', ' 0.005']","[' 2024-04-29 13:56:48.629663', ' 350344.546']"
19,"[' 2024-04-29 13:56:48.725115', ' 0.005']","[' 2024-04-29 13:56:48.725115', ' 350748.706']"
20,"[' 2024-04-29 13:56:48.829354', ' 0.005']","[' 2024-04-29 13:56:48.829354', ' 350648.46']"
21,"[' 2024-04-29 13:56:48.924787', ' 0.005']","[' 2024-04-29 13:56:48.924787', ' 351126.707']"
22,"[' 2024-04-29 13:56:49.025295', ' 0.005']","[' 2024-04-29 13:56:49.025295', ' 350846.168']"
23,"[' 2024-04-29 13:56:49.124797', ' 0.005']","[' 2024-04-29 13:56:49.124797', ' 351882.355']"
24,"[' 2024-04-29 13:56:49.225351', ' 0.005']","[' 2024-04-29 13:56:49.225351', ' 352680.725']"
25,"[' 2024-04-29 13:56:49.322836', ' 0.005']","[' 2024-04-29 13:56:49.322836', ' 351863.645']"
26,"[' 2024-04-29 13:56:49.424601', ' 0.005']","[' 2024-04-29 13:56:49.424601', ' 352009.155']"
27,"[' 2024-04-29 13:56:49.522786', ' 0.005']","[' 2024-04-29 13:56:49.522786', ' 351357.859']"
28,"[' 2024-04-29 13:56:49.625928', ' 0.005']","[' 2024-04-29 13:56:49.625928', ' 351792.916']"
29,"[' 2024-04-29 13:56:49.722965', ' 0.005']","[' 2024-04-29 13:56:49.722965', ' 351437.471']"
30,"[' 2024-04-29 13:56:49.829192', ' 0.005']","[' 2024-04-29 13:56:49.829192', ' 351396.071']"
31,"[' 2024-04-29 13:56:49.925123', ' 0.005']","[' 2024-04-29 13:56:49.925123', ' 351617.025']"
32,"[' 2024-04-29 13:56:50.022857', ' 0.005']","[' 2024-04-29 13:56:50.022857', ' 352070.908']"
33,"[' 2024-04-29 13:56:50.122914', ' 0.005']","[' 2024-04-29 13:56:50.122914', ' 351650.942']"
34,"[' 2024-04-29 13:56:50.224965', ' 0.005']","[' 2024-04-29 13:56:50.224965', ' 351282.548']"
35,"[' 2024-04-29 13:56:50.329776', ' 0.005']","[' 2024-04-29 13:56:50.329776', ' 351095.005']"
36,"[' 2024-04-29 13:56:50.425001', ' 0.005']","[' 2024-04-29 13:56:50.425001', ' 351757.37']"
37,"[' 2024-04-29 13:56:50.530093', ' 0.005']","[' 2024-04-29 13:56:50.530093', ' 351688.912']"
38,"[' 2024-04-29 13:56:50.624873', ' 0.005']","[' 2024-04-29 13:56:50.624873', ' 351951.653']"
39,"[' 2024-04-29 13:56:50.725174', ' 0.005']","[' 2024-04-29 13:56:50.725174', ' 351774.176']"
40,"[' 2024-04-29 13:56:50.824998', ' 0.005']","[' 2024-04-29 13:56:50.824998', ' 351531.73']"
41,"[' 2024-04-29 13:56:50.925066', ' 0.005']","[' 2024-04-29 13:56:50.925066', ' 352697.223']"
42,"[' 2024-04-29 13:56:51.019714', ' 0.005']","[' 2024-04-29 13:56:51.019714', ' 351289.761']"
43,"[' 2024-04-29 13:56:51.121870', ' 0.005']","[' 2024-04-29 13:56:51.121870', ' 349890.545']"
44,"[' 2024-04-29 13:56:51.225068', ' 0.005']","[' 2024-04-29 13:56:51.225068', ' 351771.807']"
45,"[' 2024-04-29 13:56:51.324651', ' 0.005']","[' 2024-04-29 13:56:51.324651', ' 352287.457']"
46,"[' 2024-04-29 13:56:51.439993', ' 0.005']","[' 2024-04-29 13:56:51.439993', ' 350877.605']"
47,"[' 2024-04-29 13:56:51.650648', ' 0.005']","[' 2024-04-29 13:56:51.650648', ' 350138.624']"
48,"[' 2024-04-29 13:56:51.850863', ' 0.005']","[' 2024-04-29 13:56:51.850863', ' 350377.905']"
49,"[' 2024-04-29 13:56:52.049804', ' 0.005']","[' 2024-04-29 13:56:52.049804', ' 350507.364']"
50,"[' 2024-04-29 13:56:52.242429', ' 0.005']","[' 2024-04-29 13:56:52.242429', ' 350657.296']"
