,load,ohms
0,"[' 2024-04-29 14:17:44.844718', '0.001']","[' 2024-04-29 14:17:44.844718', '285501.571']"
1,"[' 2024-04-29 14:17:44.949731', '0.001']","[' 2024-04-29 14:17:44.949731', '285519.99']"
2,"[' 2024-04-29 14:17:45.049643', '0']","[' 2024-04-29 14:17:45.049643', '286058.147']"
3,"[' 2024-04-29 14:17:45.149935', '0.001']","[' 2024-04-29 14:17:45.149935', '287012.018']"
4,"[' 2024-04-29 14:17:45.249746', '0.001']","[' 2024-04-29 14:17:45.249746', '286928.812']"
5,"[' 2024-04-29 14:17:45.349711', '0.001']","[' 2024-04-29 14:17:45.349711', '286717.84']"
6,"[' 2024-04-29 14:17:45.449828', '0']","[' 2024-04-29 14:17:45.449828', '286525.653']"
7,"[' 2024-04-29 14:17:45.549895', '0.001']","[' 2024-04-29 14:17:45.549895', '286764.586']"
8,"[' 2024-04-29 14:17:45.652600', '0.001']","[' 2024-04-29 14:17:45.652600', '286936.996']"
9,"[' 2024-04-29 14:17:45.750671', '0']","[' 2024-04-29 14:17:45.750671', '287095.936']"
10,"[' 2024-04-29 14:17:45.849666', '0.001']","[' 2024-04-29 14:17:45.849666', '287794.978']"
11,"[' 2024-04-29 14:17:45.949939', '0.001']","[' 2024-04-29 14:17:45.949939', '287383.762']"
12,"[' 2024-04-29 14:17:46.050072', '0.001']","[' 2024-04-29 14:17:46.050072', '287416.017']"
13,"[' 2024-04-29 14:17:46.142053', '0.001']","[' 2024-04-29 14:17:46.142053', '287608.241']"
14,"[' 2024-04-29 14:17:46.250085', '0.001']","[' 2024-04-29 14:17:46.250085', '287754.244']"
15,"[' 2024-04-29 14:17:46.350055', '0.001']","[' 2024-04-29 14:17:46.350055', '287552.807']"
16,"[' 2024-04-29 14:17:46.450060', '0.001']","[' 2024-04-29 14:17:46.450060', '287579.209']"
17,"[' 2024-04-29 14:17:46.549662', '0.001']","[' 2024-04-29 14:17:46.549662', '287398.505']"
18,"[' 2024-04-29 14:17:46.650061', '0.001']","[' 2024-04-29 14:17:46.650061', '287224.738']"
19,"[' 2024-04-29 14:17:46.752117', '0.001']","[' 2024-04-29 14:17:46.752117', '286815.574']"
20,"[' 2024-04-29 14:17:46.851888', '0.001']","[' 2024-04-29 14:17:46.851888', '286641.61']"
21,"[' 2024-04-29 14:17:46.949972', '0.001']","[' 2024-04-29 14:17:46.949972', '286453.358']"
22,"[' 2024-04-29 14:17:47.049948', '0.001']","[' 2024-04-29 14:17:47.049948', '286877.777']"
23,"[' 2024-04-29 14:17:47.149785', '0.001']","[' 2024-04-29 14:17:47.149785', '286769.457']"
24,"[' 2024-04-29 14:17:47.246527', '0.001']","[' 2024-04-29 14:17:47.246527', '286465.104']"
25,"[' 2024-04-29 14:17:47.349852', '0.001']","[' 2024-04-29 14:17:47.349852', '286828.839']"
26,"[' 2024-04-29 14:17:47.446789', '0.001']","[' 2024-04-29 14:17:47.446789', '286389.69']"
27,"[' 2024-04-29 14:17:47.549751', '0']","[' 2024-04-29 14:17:47.549751', '286390.062']"
28,"[' 2024-04-29 14:17:47.641584', '0']","[' 2024-04-29 14:17:47.641584', '285929.242']"
29,"[' 2024-04-29 14:17:47.750199', '0']","[' 2024-04-29 14:17:47.750199', '285832.113']"
30,"[' 2024-04-29 14:17:47.846132', '0']","[' 2024-04-29 14:17:47.846132', '286668.094']"
31,"[' 2024-04-29 14:17:47.951405', '0']","[' 2024-04-29 14:17:47.951405', '285875.419']"
32,"[' 2024-04-29 14:17:48.049846', '0']","[' 2024-04-29 14:17:48.049846', '286770.097']"
33,"[' 2024-04-29 14:17:48.149604', '0']","[' 2024-04-29 14:17:48.149604', '287004.205']"
34,"[' 2024-04-29 14:17:48.249890', '0']","[' 2024-04-29 14:17:48.249890', '287237.985']"
35,"[' 2024-04-29 14:17:48.349040', '0']","[' 2024-04-29 14:17:48.349040', '286844.063']"
36,"[' 2024-04-29 14:17:48.449833', '0.001']","[' 2024-04-29 14:17:48.449833', '287271.487']"
37,"[' 2024-04-29 14:17:48.548941', '0.001']","[' 2024-04-29 14:17:48.548941', '286733.797']"
38,"[' 2024-04-29 14:17:48.649828', '0.001']","[' 2024-04-29 14:17:48.649828', '286574.194']"
39,"[' 2024-04-29 14:17:48.749046', '0.001']","[' 2024-04-29 14:17:48.749046', '286474.814']"
40,"[' 2024-04-29 14:17:48.846545', '0.001']","[' 2024-04-29 14:17:48.846545', '285821.848']"
41,"[' 2024-04-29 14:17:48.950118', '0']","[' 2024-04-29 14:17:48.950118', '285936.572']"
42,"[' 2024-04-29 14:17:49.047163', '0.001']","[' 2024-04-29 14:17:49.047163', '285444.587']"
43,"[' 2024-04-29 14:17:49.149912', '0.001']","[' 2024-04-29 14:17:49.149912', '285165.909']"
44,"[' 2024-04-29 14:17:49.248821', '0.001']","[' 2024-04-29 14:17:49.248821', '285639.042']"
45,"[' 2024-04-29 14:17:49.349337', '0.001']","[' 2024-04-29 14:17:49.349337', '284961.614']"
46,"[' 2024-04-29 14:17:49.466680', '0.001']","[' 2024-04-29 14:17:49.466680', '284864.341']"
47,"[' 2024-04-29 14:17:49.657988', '0.001']","[' 2024-04-29 14:17:49.657988', '286031.99']"
48,"[' 2024-04-29 14:17:49.856525', '0.001']","[' 2024-04-29 14:17:49.856525', '285889.95']"
49,"[' 2024-04-29 14:17:50.057361', '0.001']","[' 2024-04-29 14:17:50.057361', '285971.613']"
50,"[' 2024-04-29 14:17:50.271224', '0.001']","[' 2024-04-29 14:17:50.271224', '286435.044']"
51,"[' 2024-04-29 14:17:50.456893', '0.001']","[' 2024-04-29 14:17:50.456893', '286116.394']"
52,"[' 2024-04-29 14:17:50.670805', '0.001']","[' 2024-04-29 14:17:50.670805', '175284.988']"
53,"[' 2024-04-29 14:17:50.869098', '0.005']","[' 2024-04-29 14:17:50.869098', '110166.607']"
54,"[' 2024-04-29 14:17:51.055904', '0.289']","[' 2024-04-29 14:17:51.055904', '109696.566']"
55,"[' 2024-04-29 14:17:51.257925', '0.276']","[' 2024-04-29 14:17:51.257925', '98615.189']"
56,"[' 2024-04-29 14:17:51.465540', '0.3']","[' 2024-04-29 14:17:51.465540', '93811.5212']"
57,"[' 2024-04-29 14:17:51.665649', '0.319']","[' 2024-04-29 14:17:51.665649', '87805.3856']"
58,"[' 2024-04-29 14:17:51.855697', '0.342']","[' 2024-04-29 14:17:51.855697', '84904.2193']"
59,"[' 2024-04-29 14:17:52.071295', '0.36']","[' 2024-04-29 14:17:52.071295', '79058.0866']"
60,"[' 2024-04-29 14:17:52.271321', '0.377']","[' 2024-04-29 14:17:52.271321', '75642.7287']"
61,"[' 2024-04-29 14:17:52.455818', '0.401']","[' 2024-04-29 14:17:52.455818', '72185.7555']"
62,"[' 2024-04-29 14:17:52.655754', '0.415']","[' 2024-04-29 14:17:52.655754', '71202.0709']"
63,"[' 2024-04-29 14:17:52.856455', '0.436']","[' 2024-04-29 14:17:52.856455', '67593.2708']"
64,"[' 2024-04-29 14:17:53.071608', '0.448']","[' 2024-04-29 14:17:53.071608', '63266.5137']"
65,"[' 2024-04-29 14:17:53.271288', '0.477']","[' 2024-04-29 14:17:53.271288', '61244.1566']"
66,"[' 2024-04-29 14:17:53.471658', '0.491']","[' 2024-04-29 14:17:53.471658', '59264.6418']"
