Force (lbf),Resistance (Ohms)
6.00409,3666.97519
6.00411,3543.39429
6.00237,3643.29978
6.00568,3737.8202
6.00335,3717.98869
6.00381,3735.19901
6.00381,3735.19901
6.00774,3567.55053
6.00806,3680.00983
6.00695,3681.00749
6.01031,3630.2993
6.00967,3689.91174
6.00732,3730.60761
6.00807,3619.9363
6.0092,3603.0154
6.00596,3593.91347
6.00513,3678.50533
6.01069,3502.11254
6.00305,3520.84112
6.00634,3536.80455
6.00856,3478.23864
6.01231,3499.9593
6.00527,3526.2282
6.00701,3461.27254
6.01697,3545.62732
6.00291,664947.059
6.01058,3485.50575
6.01087,3396.28433
6.00511,3390.40344
6.00834,3445.17332
