Force (lbf),Resistance (Ohms)
6.51156,3306.88211
6.51511,3304.24844
6.51591,638171.629
6.51979,3271.67087
6.52163,619345.328
6.52267,3207.80797
6.52577,592733.136
6.52592,990574.368
6.53095,632472.12
6.52146,3137.8134
6.52009,3096.2467
6.52065,3154.31774
6.51898,3281.40494
6.51982,3061.00136
6.52162,573733.845
6.52128,621202.172
6.53279,611800.927
6.52097,3125.75217
6.53032,611359.064
6.51903,3097.51305
6.51827,3161.6157
6.52542,898624.007
6.51971,3111.24254
6.52726,631371.526
6.52822,550517.397
6.51977,4223.20935
6.52096,4126.29353
6.52093,3981.66536
6.53562,585125.696
