Load (lbf),Resistance (Ohms)
0.00107,1086557.86
0.00102,1082907.34
0.00108,1078531.57
0.00105,1079001.05
0.00101,1080246.3
0.00105,1080636.43
0.00103,1082329.42
0.00101,1081785.37
0.00103,1080470.24
0.00098,1082745.83
0.00101,1083509.91
0.00099,1081612.67
0.00099,1082664.27
0.00102,1081779.91
0.00109,1079066.35
0.001,1081169.81
0.00096,1077428.11
0.00101,1077370.92
0.00102,1067380.8
0.00096,1068341.77
0.00112,1075739.24
0.00106,1155733.54
0.00108,1166422.68
0.00095,1147957.98
0.00094,1082216.77
0.00102,921933.285
0.00106,800428.426
0.00107,1069658.09
0.00119,370878.292
0.00108,280200.982
0.00098,254469.286
0.00106,235025.618
0.00098,224973.336
0.00099,211242.898
0.0006,198810.568
0.00056,186886.484
0.00232,183155.622
0.00519,179534.283
0.12544,173372.255
0.67434,159692.015
0.73298,156013.673
0.79702,150012.965
0.85646,142738.989
0.92648,137600.699
0.98578,130066.125
1.04738,128866.639
1.10261,126724.993
1.17762,120449.995
1.23687,114578.43
1.29734,110193.277
1.36213,100624.463
1.42168,94388.6716
1.48558,87916.2236
1.53898,80807.8783
1.6023,77096.1442
1.66002,71310.8572
1.73036,65556.0005
1.7905,60732.5593
1.85771,56643.229
1.91781,54150.8091
1.9824,50019.8106
2.0369,47028.2431
2.11312,44554.9792
2.16139,42102.9017
2.22294,39525.7846
2.28883,36815.7712
2.3513,34774.4276
2.4165,33204.1975
2.46612,30868.6682
2.53526,28871.9033
2.60912,27811.7601
2.65504,26420.4351
2.70721,24594.3327
2.77712,22992.2088
2.83174,21842.6521
2.90428,20783.1929
2.95038,19613.0988
3.03513,18596.8781
3.09692,17550.4238
3.15465,16796.5578
3.2191,15613.3708
3.28496,15053.1577
3.34114,14628.1646
3.40081,13832.695
3.46664,13357.9045
3.52699,12781.4736
3.57975,12340.4712
3.64907,11921.5256
3.71524,11394.7689
3.77386,11089.7682
3.84263,10726.0191
3.90251,10466.6262
3.9678,10149.5856
4.02217,9797.13744
4.08865,9598.04612
4.15013,9248.97859
4.22013,9051.42898
4.26862,8696.63629
4.35314,8428.05427
4.40466,8280.09537
4.46429,8112.42581
4.5269,7796.31973
4.5828,7533.42385
4.6632,7338.43564
4.71087,7245.18737
4.77341,7164.14897
4.84607,6919.04987
4.89239,6805.02671
4.96383,6641.05346
5.03091,6312.4163
5.09513,6289.35525
5.15556,6116.56723
5.19735,6162.93227
5.26766,5997.32018
5.32845,5905.61959
5.39757,5629.99643
5.45565,5576.96167
5.4969,5518.74532
5.57787,5345.82049
5.65388,5216.48481
5.69552,5131.34963
5.76351,5129.67888
5.85662,5085.40552
5.90953,5077.35946
5.93672,4786.80403
6.00501,4882.01534
6.05731,4688.55633
6.1389,4588.70205
6.17987,4743.50128
6.25239,4592.95409
6.30614,4609.77055
6.37221,4413.72865
6.43656,4486.72529
6.49136,4403.41747
6.51098,4375.53046
6.51613,4485.63755
6.51729,4407.55551
6.51618,4456.24611
6.51357,4356.79996
6.51132,4344.91711
6.51012,4298.32413
6.51214,4454.38962
6.51602,4256.60225
6.51951,4265.01661
6.52161,4258.15921
6.52348,4334.44567
6.52535,4263.61709
6.52726,631371.526
4.93799,492473.859
0.00046,531257.487
0.00016,558580.72
0.00016,607101.555
0.0001,707081.809
0.0001,761738.879
8.00E-05,671802.63
0.00016,743635.43
0.00012,693986.275
0.00012,743898.775
0.00015,800763.18
0.00019,861687.371
0.00037,815462.864
0.00026,886502.584
0.00019,966019.466
0.00029,970064.772
0.00036,825159.022
0.00026,862672.097
0.00023,833069.283
0.0003,733197.379
0.00037,732576.963
0.00025,733728.004
0.00026,729273.177
0.00026,752860.74
0.00019,754075.678
0.00053,752414.884
0.00135,760407.782
0.00259,778023.535
0.00387,766464.202
0.00615,928632.123
0.01465,49725.6955
1.33744,28157.6222
2.81966,24746.8139
2.86321,23264.0908
2.93317,21378.3026
3.01176,20029.7513
3.06973,18453.1008
3.12118,17693.8598
3.19342,16471.439
3.25701,15413.4422
3.31438,14621.1793
3.378,14245.3831
3.43879,13525.6662
3.50294,13001.2327
3.55592,12372.5846
3.62231,11885.6911
3.69298,11475.1039
3.74872,11141.7074
3.81824,10380.8848
3.87756,10209.7279
3.93638,9885.72502
4.0005,9412.09365
4.06036,9142.96676
4.12605,9046.78636
4.19527,8817.58314
4.24434,8506.89132
4.32139,8323.67665
4.36985,8050.78256
4.44128,7853.94195
4.50322,7655.85324
4.56045,7564.21149
4.63623,7229.60275
4.68495,7041.80954
4.75051,6940.34566
4.82067,6723.59805
4.86988,6516.90869
4.93697,6304.65328
5.00633,6183.53412
5.06041,6101.07248
5.13801,6255.06066
5.16701,5922.63892
5.24856,5693.09566
5.30377,5722.05435
5.37029,5560.95458
5.43534,5483.5314
5.48297,5273.30191
5.55863,5239.5544
5.62676,4989.43851
5.67921,5041.73803
5.74218,5009.7962
5.81127,4986.59855
5.88064,4936.77369
5.91972,4961.67386
5.97663,4615.37563
6.04783,4593.53688
6.11013,4566.62765
6.16104,4564.63906
6.22979,4621.73273
6.2896,4202.50968
6.35437,4161.70687
6.41825,4292.56976
6.4785,4071.1094
6.51361,4182.32164
6.5198,4187.73285
6.51655,4196.95999
6.51353,4106.97714
6.51382,4295.08612
6.51713,4216.18235
6.52091,4170.01326
6.5227,4144.03821
6.52453,4278.30194
6.5264,4187.09112
6.52822,550517.397
0.00061,550728.593
0.00044,634562.773
0.00037,694176.908
0.00022,768040.816
0.00021,776664.47
0.00022,825655.131
0.00014,754645.211
4.00E-05,784545.477
4.00E-05,856407.08
4.00E-05,872529.24
1.00E-05,887643.112
2.00E-05,1042669.29
5.00E-05,976971.828
0.0001,964377.613
5.00E-05,941176.468
0.0001,863416.525
4.00E-05,883577.238
0.00011,930632.359
0.00014,1000068.05
0.00092,1119101.53
0.00207,1113561.77
0.00364,895411.567
0.0057,1022587.16
0.01531,52971.3881
1.72433,40759.3733
2.30124,36353.9933
2.3767,32833.759
2.43554,30689.0358
2.50589,28254.5636
2.5739,26183.1015
2.62332,24651.2263
2.68902,22914.8328
2.74843,21689.77
2.82548,20483.924
2.86281,19348.8348
2.94267,18206.123
3.00027,17259.5893
3.05368,16336.2698
3.12896,15718.155
3.17165,15020.7564
3.2453,14464.3053
3.30313,13831.0284
3.36519,13428.9593
3.42547,12803.8304
3.4873,12220.7945
3.54688,11618.7962
3.61466,11265.4269
3.67715,10869.1016
3.74332,10536.5715
3.79615,10328.0695
3.87146,9732.76927
3.92342,9532.68947
3.99705,9131.53383
4.04495,9109.76337
4.11596,8727.89957
4.18058,8503.34247
4.22968,8141.08717
4.31167,8002.42572
4.36332,7771.83465
4.42678,7549.88246
4.49305,7465.03984
4.54019,7274.39476
4.62649,6962.96777
4.67243,6858.88306
4.73762,6779.6434
4.80517,6633.11913
4.85861,6535.75652
4.92582,6282.66106
4.99507,6329.1102
5.04979,6163.0958
5.12257,5976.29328
5.17249,5798.30509
5.24421,5844.94142
5.29398,5555.94152
5.37195,5398.63024
5.42622,5520.47736
5.47192,5293.29072
5.55609,5242.4006
5.61958,5242.51535
5.66642,5118.15888
5.75775,4884.2944
5.79094,4829.03344
5.87,4830.12507
5.91443,4611.93712
5.97965,4566.29803
6.04345,4473.91537
6.10695,4503.1369
6.16351,4484.75054
6.22449,4338.17537
6.28089,4236.79599
6.35083,4319.52877
6.41793,4146.97051
6.47397,4166.42327
6.51602,4180.33729
