Load (lbf),Resistance (Ohms)
1.00E-05,882077.505
0,885148.013
3.00E-05,886385.568
0.0001,892051.831
7.00E-05,895010.143
0,898760.29
2.00E-05,879258.584
9.00E-05,873878.758
5.00E-05,877089.319
0,886792.645
0.0001,880348.02
7.00E-05,871201.643
5.00E-05,870822.835
5.00E-05,852332.307
3.00E-05,856849.355
1.00E-05,871084.895
1.00E-05,874012.018
1.00E-05,834800.229
1.00E-05,857560.651
4.00E-05,909996.826
3.00E-05,904292.478
1.00E-05,830184.37
3.00E-05,805330.788
8.00E-05,792148.339
1.00E-05,789250.247
4.00E-05,792144.342
5.00E-05,788050.299
2.00E-05,795507.376
1.00E-05,816337.973
2.00E-05,859558.855
7.00E-05,841565.078
0.00015,792960.184
0.00029,790311.378
0.00028,746838.177
0.00029,738737.608
0.00044,655347.945
0.00065,654692.047
0.00071,727721.936
0.00093,730109.44
0.00108,746090.632
0.00114,791432.062
0.00123,800764.01
0.00141,808119.129
0.00156,811735.479
0.00182,746813.732
0.00207,736770.766
0.00237,729739.853
0.00252,789141.71
0.00284,768304.917
0.00317,747372.327
0.0034,703392.792
0.00382,737520.194
0.00419,897269.74
0.00484,811375.549
0.00534,797468.152
0.00604,824530.915
0.00697,713049.887
0.00856,819105.722
0.01082,772163.17
0.01354,742603.663
0.01683,937445.758
0.04363,675048.988
0.16243,705117.013
0.20236,562485.685
0.21328,614353.447
0.21722,627401.948
0.22333,573878.204
0.23144,566765.802
0.23591,550339.52
0.24119,506243.585
0.24539,495530.114
0.25253,496910.417
0.25951,541601.514
0.26287,536395.337
0.26892,506222.397
0.2739,490780.21
0.28017,492851.622
0.28851,491754.914
0.29273,485809.915
0.29668,460960.37
0.29964,460809.493
0.30503,427426.045
0.3163,420313.339
0.31822,408256.566
0.32182,409077.199
0.32654,412716.543
0.33065,409281.947
0.3394,401187.564
0.34328,398825.739
0.34717,395834.366
0.35424,394176.674
0.36137,389597.934
0.36559,390001.38
0.37031,387329.124
0.37833,384470.222
0.38604,382545.834
0.39022,378605.545
0.39448,376760.169
0.39898,374444.628
0.40615,363118.84
0.41391,359202.04
0.42061,358211.346
0.42488,353010.254
0.42856,348259.46
0.43389,342384.361
0.43852,325341.769
0.44397,321711.414
0.44956,322189.593
0.45559,320101.576
0.46138,302092.694
0.47099,297944.356
0.47428,297698.936
0.4766,295751.537
0.48445,291981.413
0.49277,290177.426
0.49797,282375.592
0.50256,280770.308
0.50843,278130.833
0.51502,276215.811
0.5208,275723.751
0.52742,276769.919
0.53137,272570.915
0.5376,255978.598
0.5437,257953
0.54794,257349.79
0.55264,258015.208
0.55899,257826.165
0.56231,255589.301
0.5685,256007.078
0.57557,250451.642
0.57958,249421.251
0.58762,248386.071
0.59289,244605.055
0.60338,237434.811
0.61548,234167.413
0.61873,234100.507
0.62066,230684.359
0.62188,230338.831
0.6239,229158.739
0.62481,229965.178
0.62676,229902.699
0.63015,230094.312
0.6344,229829.795
0.63823,229519.561
0.64131,227239.269
0.64539,224090.406
0.65126,220335.084
0.66018,217282.831
0.6666,217037.618
0.67076,217003.973
0.6758,215392.633
0.68282,212075.627
0.69253,208302.641
0.69773,206147.832
0.7038,205067.374
0.71023,203524.697
0.71501,199617.064
0.7199,197565.725
0.72445,192285.052
0.72967,191521.664
0.73291,189095.613
0.7402,189516.266
0.74778,188495.861
0.75189,186933.386
0.75397,187844.303
0.75621,185728.787
0.76106,185095.921
0.7671,180005.818
0.77315,179998.199
0.78117,179334.167
0.7913,177691.593
0.79992,177830.487
0.8097,176916.275
0.81321,170100.527
0.82222,166732.77
0.82936,165753.23
0.83354,164626.979
0.83515,163857.12
0.83968,162452.39
0.84465,160362.28
0.84896,160145.847
0.85358,158796.042
0.85823,158101.703
0.86445,156220.905
0.87277,152073.134
0.87974,149637.057
0.88458,149615.222
0.88823,146927.988
0.89298,147296.699
0.89919,146423.121
0.90524,144877.01
0.91138,142700.893
0.91955,142435.581
0.92492,143074.45
0.9307,140569.354
0.9354,139127.868
0.94127,137459.214
0.94799,136203.294
0.95308,135723.394
0.9582,135110.437
0.96167,134540.681
0.96687,133957.091
0.97196,133564.383
0.97694,133876.487
0.98423,134422.32
0.99158,133431.535
0.99758,130524.558
1.00426,128014.138
1.01161,126214.192
1.01716,124076.17
1.02192,121542.545
1.02799,120768.969
1.03555,120282.209
1.03961,119808.394
1.04418,119167.389
1.04767,118803.005
1.05536,118032.414
1.06211,116665.719
1.06943,116453.289
1.07417,115833.83
1.0792,115394.274
1.08407,113031.375
1.08969,111277.1
1.09542,109646.032
1.10069,108599.633
1.10649,108602.173
1.11138,107462.452
1.1178,107562.194
1.12489,106450.702
1.13,104975.977
