,Load (lbf),Resistance (Ohms)
0,0.001,285501.571
1,0.001,285519.99
2,0.0,286058.147
3,0.001,287012.018
4,0.001,286928.812
5,0.001,286717.84
6,0.0,286525.653
7,0.001,286764.586
8,0.001,286936.996
9,0.0,287095.936
10,0.001,287794.978
11,0.001,287383.762
12,0.001,287416.017
13,0.001,287608.241
14,0.001,287754.244
15,0.001,287552.807
16,0.001,287579.209
17,0.001,287398.505
18,0.001,287224.738
19,0.001,286815.574
20,0.001,286641.61
21,0.001,286453.358
22,0.001,286877.777
23,0.001,286769.457
24,0.001,286465.104
25,0.001,286828.839
26,0.001,286389.69
27,0.0,286390.062
28,0.0,285929.242
29,0.0,285832.113
30,0.0,286668.094
31,0.0,285875.419
32,0.0,286770.097
33,0.0,287004.205
34,0.0,287237.985
35,0.0,286844.063
36,0.001,287271.487
37,0.001,286733.797
38,0.001,286574.194
39,0.001,286474.814
40,0.001,285821.848
41,0.0,285936.572
42,0.001,285444.587
43,0.001,285165.909
44,0.001,285639.042
45,0.001,284961.614
46,0.001,284864.341
47,0.001,286031.99
48,0.001,285889.95
49,0.001,285971.613
50,0.001,286435.044
51,0.001,286116.394
52,0.001,175284.988
53,0.005,110166.607
54,0.289,109696.566
55,0.276,98615.189
56,0.3,93811.5212
57,0.319,87805.3856
58,0.342,84904.2193
59,0.36,79058.0866
60,0.377,75642.7287
61,0.401,72185.7555
62,0.415,71202.0709
63,0.436,67593.2708
64,0.448,63266.5137
65,0.477,61244.1566
66,0.491,59264.6418
67,0.507,56877.2801
68,0.527,56006.5689
69,0.549,55462.1826
70,0.566,52156.9316
71,0.595,50476.6285
72,0.601,49747.7299
73,0.613,48792.8301
74,0.639,47697.1533
75,0.659,46522.1379
76,0.672,44649.8488
77,0.693,43119.3899
78,0.715,41799.8746
79,0.733,41078.3236
80,0.752,39210.4427
81,0.773,37289.83
82,0.792,36596.6915
83,0.81,35951.5481
84,0.825,34654.7558
85,0.846,33351.0343
86,0.871,32608.3825
87,0.886,32058.4031
88,0.903,31719.3075
89,0.922,30412.8151
90,0.943,29324.5066
91,0.965,28623.1703
92,0.983,28116.2793
93,0.999,27275.2061
94,1.016,26840.6129
95,1.037,26463.9749
96,1.057,25115.5972
97,1.076,24593.7387
98,1.093,24069.7763
99,1.111,23073.5948
100,1.132,22479.3254
101,1.151,22130.8495
102,1.167,21730.5698
103,1.19,21150.6459
104,1.209,20564.7187
105,1.225,20294.4104
106,1.246,19852.5294
107,1.265,19511.9442
108,1.285,19023.2134
109,1.3,18697.2437
110,1.321,18502.1308
111,1.339,18072.2337
112,1.362,17820.6704
113,1.379,17541.5425
114,1.394,17238.8425
115,1.415,17125.9697
116,1.437,16828.383
117,1.449,16487.4009
118,1.476,16300.5623
119,1.495,16022.2389
120,1.512,15649.8852
121,1.533,15521.9064
122,1.551,15158.8565
123,1.564,15016.9186
124,1.591,14624.3333
125,1.607,14438.3395
126,1.625,14041.3077
127,1.646,13901.2315
128,1.664,13831.1352
129,1.686,13563.4003
130,1.704,13353.9654
131,1.719,13072.6043
132,1.745,12836.0648
133,1.752,12727.0061
134,1.762,12348.353
135,1.803,12277.4794
136,1.819,11966.4182
137,1.84,11815.4532
138,1.859,11547.4909
139,1.869,11530.2599
140,1.891,11219.5302
141,1.913,11135.6718
142,1.937,10876.5994
143,1.953,10783.3006
144,1.966,10689.2596
145,1.992,10298.3463
146,2.023,10346.3783
147,2.035,10310.1701
148,2.037,10235.3181
149,2.05,9946.65096
150,2.086,9948.1483
151,2.104,9974.22451
152,2.112,9840.98202
153,2.122,9552.70423
154,2.136,9539.65433
155,2.167,9472.06766
156,2.181,9370.97496
157,2.207,9180.55356
158,2.232,9090.55218
159,2.246,8874.26003
160,2.264,8682.35814
161,2.288,8703.82927
162,2.302,8636.25609
163,2.322,8389.04767
164,2.342,8417.00936
165,2.36,8426.13155
166,2.373,8260.83582
167,2.392,8085.97947
168,2.411,8110.44166
169,2.431,7937.47871
170,2.447,7905.94442
171,2.47,7939.54249
172,2.492,7629.60328
173,2.516,7632.5152
174,2.54,7534.53759
175,2.552,7448.49648
176,2.565,7499.21474
177,2.593,7308.81869
178,2.61,7244.1513
179,2.621,7252.34453
180,2.638,7144.60926
181,2.656,7199.42788
182,2.682,6959.47802
183,2.7,6925.60814
184,2.72,6699.90906
185,2.741,6747.02129
186,2.759,6725.56778
187,2.777,6720.31498
188,2.798,6685.24327
189,2.817,6533.47839
190,2.838,6474.82328
191,2.856,6446.99312
192,2.87,6408.45923
193,2.89,6311.3231
194,2.911,6161.35726
195,2.93,6220.15955
196,2.948,6150.29198
197,2.965,6015.91814
198,2.987,6228.16086
199,3.009,6048.06927
200,3.033,5959.59924
201,3.048,5931.59659
202,3.065,5932.11905
203,3.08,5989.83419
204,3.099,5775.8522
205,3.115,5633.71984
206,3.13,5758.98176
207,3.153,5627.59893
208,3.171,5667.57755
209,3.188,5555.31471
210,3.208,5628.83689
211,3.23,5404.68998
212,3.255,5420.13266
213,3.274,5441.3442
214,3.289,5445.74471
215,3.304,5300.09387
216,3.319,5336.20733
217,3.345,5366.33834
218,3.365,5304.63501
219,3.381,5322.75916
220,3.399,5148.59194
221,3.414,5198.53561
222,3.436,5001.62872
223,3.451,5135.51857
224,3.465,5155.5842
225,3.502,5022.27349
226,3.525,5012.47298
227,3.54,5036.30456
228,3.555,4777.49469
229,3.575,5043.55241
230,3.591,4975.00913
231,3.611,4791.37511
232,3.628,4804.45459
233,3.644,4832.64397
234,3.667,4701.19754
235,3.688,4717.62554
236,3.716,4587.89665
237,3.729,4681.31794
238,3.741,4791.59226
239,3.76,4489.96269
240,3.787,4667.35362
241,3.809,4460.2162
242,3.823,4680.97762
243,3.847,4738.7712
244,3.864,4560.0962
245,3.873,4450.21314
246,3.888,4440.83457
247,3.905,4350.79002
248,3.932,4460.89154
249,3.955,4463.10928
250,3.977,4449.52994
251,3.997,4335.53249
252,4.016,4325.68794
253,4.029,4239.13667
254,4.046,4313.27767
255,4.063,4178.46902
256,4.081,4251.68322
257,4.109,4066.54594
258,4.133,4047.96973
259,4.152,4090.42335
260,4.166,4051.95032
261,4.197,4109.23754
262,4.215,3845.02486
263,4.222,3986.50624
264,4.234,3957.20306
265,4.255,3921.66195
266,4.272,3920.37724
267,4.294,3909.28194
268,4.313,3822.05292
269,4.332,3794.64213
270,4.351,3859.49767
271,4.373,3795.53526
272,4.394,3745.39824
273,4.41,3569.28819
274,4.43,3865.7613
275,4.447,3785.94662
276,4.465,3753.25064
277,4.481,3638.23014
278,4.504,3654.33278
279,4.521,3622.66383
280,4.535,3589.44492
281,4.555,3722.28082
282,4.577,3688.30973
283,4.6,3596.91592
284,4.615,3707.6129
285,4.639,3598.31495
286,4.663,3550.03704
287,4.675,3597.72919
288,4.692,3582.59849
289,4.716,3637.58674
290,4.731,3622.74318
291,4.753,3438.40812
292,4.77,3518.86371
293,4.787,3438.87345
294,4.806,3515.12957
295,4.827,3354.119
296,4.844,3496.52654
297,4.86,3438.34543
298,4.886,3415.12229
299,4.909,3450.05707
300,4.926,3384.80523
301,4.942,3350.98452
302,4.961,3369.80726
303,4.977,3271.48378
304,4.998,3351.08152
305,5.021,3336.05633
306,5.039,3319.74887
307,5.057,3453.19527
308,5.076,3300.04631
309,5.094,3382.61153
310,5.111,3382.82984
311,5.137,3345.71333
312,5.158,3209.41636
313,5.174,3285.6467
314,5.192,3253.14955
315,5.209,3248.60059
316,5.226,3201.1448
317,5.243,3201.83883
318,5.261,3179.15153
319,5.282,3071.95369
320,5.301,3214.12311
321,5.321,3161.4558
322,5.343,2993.34729
323,5.358,2937.8957
324,5.376,3241.75601
325,5.392,3204.24086
326,5.412,3096.35274
327,5.437,3066.83473
328,5.459,3057.06538
329,5.479,3023.97247
330,5.496,2915.21802
331,5.509,3126.48619
332,5.527,3010.18989
333,5.547,3009.42382
334,5.565,2897.36236
335,5.583,2898.67858
336,5.608,3141.41677
337,5.629,2941.49636
338,5.645,3091.00035
339,5.659,2941.76858
340,5.682,3078.01328
341,5.71,2954.55775
342,5.726,2871.83726
343,5.739,2909.17883
344,5.759,2791.37227
345,5.777,3050.84095
346,5.794,2924.95614
347,5.811,2931.45018
348,5.837,2911.2918
349,5.857,2833.6864
350,5.876,2805.09305
351,5.894,2828.28609
352,5.914,2867.35823
353,5.938,2652.37945
354,5.953,2793.1703
355,5.971,2689.52969
356,5.987,2670.05802
357,5.994,2717.20143
358,6.022,2726.19586
359,6.05,2727.67044
360,6.064,2720.55857
361,6.08,2698.70789
362,6.102,2741.17925
363,6.135,2657.10284
364,6.153,2687.32232
365,6.162,2671.42649
366,6.173,2691.99947
367,6.199,2599.36995
368,6.225,2655.24496
369,6.251,2772.25556
370,6.269,2542.12241
371,6.281,2735.74572
372,6.305,2615.66774
373,6.327,2594.27055
374,6.34,2558.52442
375,6.353,2641.46153
376,6.369,2634.54422
377,6.39,2464.86633
378,6.413,2652.93831
379,6.428,2448.73837
380,6.444,2643.24988
381,6.464,2544.1644
382,6.487,2494.12795
383,6.503,2562.01435
384,6.522,2594.68225
385,6.542,2513.41876
386,6.56,2440.29095
387,6.581,2567.73401
388,6.602,2484.79206
389,6.621,2467.63283
390,6.637,2541.05137
391,6.656,2394.78772
392,6.675,2587.12054
393,6.694,2434.71219
394,6.718,2475.099
395,6.74,2421.69393
396,6.758,2472.11918
397,6.778,2380.56603
398,6.795,2364.62151
399,6.815,2529.37508
400,6.83,2297.65973
401,6.841,2419.98058
402,6.859,2378.48422
403,6.887,2337.89427
404,6.904,2422.92651
405,6.922,2208.47741
406,6.943,2277.44356
407,6.966,2548.28329
408,6.981,2387.85297
409,7.0,2205.01834
410,7.021,2309.44816
411,7.04,2179.59589
412,7.061,2299.28924
413,7.088,2310.62407
414,7.103,2194.66907
415,7.118,2276.16136
416,7.131,2503.3583
417,7.156,2316.07835
418,7.183,2321.35916
419,7.196,2273.31789
420,7.213,2281.19156
421,7.233,2399.84354
422,7.252,2310.78593
423,7.27,2173.96135
