Load (lbf),Resistance (Ohms)
4.00E-05,663930.91
2.00E-05,664931.473
4.00E-05,666250.203
0,663985.395
2.00E-05,664706.626
7.00E-05,664625.463
2.00E-05,668233.325
1.00E-05,666408.242
9.00E-05,668527.479
4.00E-05,670350.225
0.00011,671131.78
3.00E-05,670783.577
3.00E-05,673182.316
4.00E-05,671232.192
9.00E-05,672843.877
7.00E-05,674907.017
5.00E-05,674095.671
2.00E-05,674525.209
9.00E-05,675073.579
2.00E-05,676584.484
1.00E-05,676234.204
3.00E-05,674996.062
7.00E-05,675127.436
7.00E-05,675890.256
8.00E-05,673747.873
0,631249.993
4.00E-05,627948.893
0,658783.043
2.00E-05,424098.902
0,221980.267
2.00E-05,204408.602
9.00E-05,194084.912
1.00E-05,188740.48
5.00E-05,182106.113
9.00E-05,178696.117
4.00E-05,166731.604
8.00E-05,158469.859
9.00E-05,153576.849
0.00325,145676.683
0.01945,143160.777
0.86415,137735.405
0.91361,132922.317
0.90847,128108.178
1.00149,122846.648
1.06469,117319.002
1.12349,113442.028
1.19052,106899.654
1.26379,103972.929
1.31509,101433.196
1.37791,95814.2661
1.43938,90277.9483
1.50175,87877.7877
1.56429,84311.0983
1.62717,79981.4263
1.69342,73607.8854
1.75653,65790.7379
1.81704,61684.8902
1.88167,56471.8349
1.94597,54854.3997
2.00786,50611.8587
2.07155,46418.7369
2.13487,43674.9586
2.19707,41392.1843
2.25765,39079.4907
2.31902,37292.8246
2.38305,35634.2287
2.44463,33229.8843
2.50548,30441.3102
2.5679,28335.6247
2.63441,27180.9678
2.69987,25962.3932
2.76088,24365.4688
2.83879,23477.1136
2.86537,22731.5643
2.9375,21859.8906
2.99942,21073.5925
3.06012,19964.9467
3.12265,19021.5323
3.18389,18034.8737
3.24736,17145.8329
3.30823,16425.5301
3.36983,15934.6369
3.43848,15355.2446
3.49612,14996.6975
3.55981,14398.9033
3.6262,14076.5682
3.694,13477.4525
3.75226,13122.0913
3.81122,12757.94
3.87588,12380.2868
3.93556,11964.7572
4.00308,11714.0369
4.0659,11375.1431
4.12517,10977.0529
4.1853,10789.1452
4.25772,10458.5415
4.31024,10182.1646
4.37544,9980.2337
4.43727,9421.34786
4.50007,9516.23243
4.56218,9236.48251
4.62276,8905.60762
4.68798,8587.24146
4.75214,8411.96956
4.81203,8172.59025
4.876,7982.0918
4.93478,7973.51532
4.98008,7551.96729
5.07206,7365.05339
5.11598,7303.04584
5.18545,7129.42057
5.24403,6977.70374
5.3097,6829.72984
5.36624,6717.5416
5.44429,6815.65462
5.47278,6569.7286
5.55276,6274.09561
5.61249,6344.34013
5.66756,6252.83905
5.73224,6120.63877
5.79542,6027.86771
5.85573,5849.78885
5.9217,5812.18141
5.98515,5604.98689
6.03914,5523.53769
6.1071,5443.60821
6.16784,5309.08074
6.23277,5366.21791
6.28965,5183.71426
6.36943,4983.32357
6.43379,5019.33505
6.4895,5009.74608
6.54301,4954.16457
6.60507,4917.71529
6.67575,4668.01334
6.72934,4805.6382
6.79688,4578.90219
6.86742,4571.32315
6.92347,4487.09895
6.98009,4509.85279
7.05141,4559.39109
7.11426,4374.74668
7.16921,4350.44347
7.24139,4076.36871
7.29833,4234.63799
7.35779,4135.87408
7.42153,4104.44843
7.4828,4092.58765
7.51961,4098.08671
7.52173,4053.47626
7.5178,4022.58211
7.51403,3956.05718
7.5108,4017.84643
7.50765,4123.26424
7.50497,4107.83968
7.50264,4013.6951
7.50048,3996.48896
7.49846,4021.89005
7.49644,4050.96971
7.49484,4017.29786
7.49317,3944.20103
7.49157,578753.224
5.92627,566514.38
0.00165,627924.971
0.0014,581000.648
0.00131,549322.213
0.00116,489057.966
0.00119,500079.125
0.00106,603446.177
0.00098,601940.079
0.00105,617696.866
0.00102,686813.819
0.00084,707301.442
0.00092,681577.349
0.00084,608365.275
0.00089,632163.339
0.00084,720704.095
0.00074,723908.495
0.00077,696835.203
0.00075,712670.368
0.00079,744872.533
0.00078,671280.447
0.0008,684128.241
0.00072,694234.337
0.00082,691039.203
0.00065,697367.231
0.00065,639563.788
0.0007,627064.489
0.00072,690029.346
0.00078,711290.277
0.00151,682800.192
0.00318,867858.543
0.00539,1013272.56
0.0119,38086.0322
1.15086,26275.3143
2.95081,22275.3741
3.05554,20343.482
3.11848,19253.2513
3.18419,18253.4679
3.24431,17343.978
3.31064,16557.3085
3.36873,15984.5511
3.43545,15047.6026
3.50022,14362.7402
3.56622,14098.6217
3.62468,13405.1827
3.68104,13020.0109
3.74435,12607.9653
3.80762,12140.6243
3.87401,11793.8215
3.93213,11440.3127
3.99513,11167.0148
4.06076,10662.4584
4.12386,10532.6174
4.18192,10071.8964
4.24688,9828.77826
