,Load (lbf),Resistance (Ohms)
0,0.739,24444.2916
1,0.739,24466.3018
2,0.739,24120.1911
3,0.739,24408.1785
4,0.739,24833.9549
5,0.739,24991.4806
6,0.739,24873.1662
7,0.739,24695.412
8,0.739,24816.1602
9,0.739,24667.596
10,0.739,24704.4261
11,0.739,24521.2741
12,0.739,24643.1258
13,0.737,24706.4457
14,0.737,24538.5984
15,0.737,24778.0885
16,0.737,24649.0956
17,0.737,24517.664
18,0.737,24573.0919
19,0.737,24552.1652
20,0.737,24555.2154
21,0.737,24531.2629
22,0.737,24489.5565
23,0.737,24507.735
24,0.737,24501.8463
25,0.737,24520.3689
26,0.737,24461.1061
27,0.737,24511.232
28,0.737,24614.4843
29,0.737,24589.377
30,0.737,24576.4989
31,0.737,24683.8727
32,0.737,24627.2779
33,0.737,24685.2744
34,0.737,24603.8174
35,0.737,24528.8016
36,0.737,24490.7819
37,0.737,24560.744
38,0.737,24447.1291
39,0.737,24609.7878
40,0.737,24585.5203
41,0.737,24451.7067
42,0.737,24519.5372
43,0.737,24497.4614
44,0.737,24559.6775
45,0.737,24492.1949
46,0.737,24465.1667
47,0.737,24438.3919
48,0.737,24430.7429
49,0.737,24609.604
50,0.737,24577.5753
51,0.737,24353.0872
52,0.737,24595.7035
53,0.737,24465.99
54,0.737,24507.97
55,0.737,24509.3377
56,0.737,24564.7212
57,0.737,24580.9722
58,0.737,24287.309
59,0.737,24417.9654
60,0.738,24573.6628
61,0.737,24663.1291
62,0.737,24546.9825
63,0.737,24351.4101
64,0.738,24245.6324
65,0.738,24458.9875
66,0.738,24434.4839
67,0.738,24477.0846
68,0.738,24407.1005
69,0.738,24437.3418
70,0.738,24339.5973
71,0.738,25414.8411
72,0.982,24812.1076
73,0.741,19159.9684
74,1.261,5271.31991
75,2.708,13260.3392
76,1.932,3489.15002
77,5.524,3249.52328
78,5.728,3062.09867
79,5.729,3170.72421
80,5.739,3151.43327
81,5.733,3178.84691
82,5.737,2990.73831
83,5.735,2948.11993
84,5.737,3120.03109
85,5.737,3134.63132
86,5.737,3138.96659
87,5.737,3110.6674
88,5.76,3851.7556
89,5.699,34715.4134
90,1.299,29956.8854
91,0.74,28433.3811
92,0.742,27972.8045
93,0.741,26967.8168
94,0.742,26674.636
95,0.742,26591.5448
96,0.741,26317.8255
97,0.741,26266.5901
98,0.741,25747.9701
99,0.741,25520.4995
100,0.741,25373.1519
101,0.741,25542.6145
102,0.741,25649.6023
103,0.741,25556.5073
104,0.741,17438.3665
105,0.903,11552.8335
106,1.735,9678.19226
107,1.815,4441.73719
108,2.86,3283.83004
109,5.757,3309.71269
110,5.742,3132.71214
111,5.731,3231.95483
112,5.732,3120.18986
113,5.735,3007.43351
114,5.73,3113.11784
115,5.734,3153.36599
116,5.73,3068.3306
117,5.732,3111.31712
118,5.729,3153.09383
119,5.73,3121.45737
120,5.733,3117.64269
121,5.735,3028.28588
122,5.734,3038.04398
123,5.737,3148.27126
124,5.731,3119.09411
125,5.739,3135.70385
126,5.705,34417.9828
127,1.289,32112.0719
128,0.741,30713.3789
129,0.741,29972.5493
130,0.741,29844.5227
131,0.741,29390.4746
132,0.741,28337.0885
133,0.741,27628.3745
134,0.741,26684.286
135,0.741,26862.4251
136,0.74,26398.7754
137,0.739,26457.7526
138,1.068,21150.6795
139,1.314,12338.2494
140,2.677,3413.26207
141,5.795,3422.89557
142,5.745,3047.05315
143,5.709,3172.96813
144,5.729,3094.02274
145,5.717,3183.87458
146,5.723,3049.07411
147,5.719,3232.45012
148,5.721,3051.73095
149,5.719,3074.7867
150,5.719,3150.58772
151,5.719,3118.90163
152,5.72,3148.25128
153,5.72,3124.77079
154,5.725,3258.93627
155,5.719,4828.25573
156,5.458,33769.162
157,0.746,31576.3832
158,0.749,31144.4864
159,0.749,29533.5409
160,0.749,29065.5144
161,0.749,28869.8976
162,0.749,28374.8436
163,0.749,28165.7233
164,0.749,28197.0262
165,0.749,17614.7811
166,1.12,15548.7812
167,1.999,5233.29047
168,3.673,3305.85874
169,5.574,3275.26526
170,5.746,3042.23294
171,5.729,3170.88937
172,5.722,3126.85063
173,5.723,3027.89916
174,5.721,3202.36809
175,5.72,3101.24162
176,5.722,3052.52606
177,5.721,3188.40088
178,5.722,3198.17803
179,5.722,3085.864
180,5.722,3137.74077
181,5.72,3238.80756
182,5.72,2965.637
183,5.721,3166.83469
184,5.72,3096.37106
185,5.699,4045.67787
186,5.439,34362.3196
187,0.737,32679.5238
188,0.751,31779.5796
189,0.751,30936.1816
190,0.751,30704.8316
191,0.751,30280.1223
192,0.751,29701.2881
193,0.751,29130.8537
194,0.751,28721.7715
195,0.751,28834.6307
196,0.751,27904.9064
197,0.751,29153.3314
198,0.745,9532.20837
199,1.196,11894.4944
200,1.668,11409.2425
201,1.951,3489.20691
202,4.363,3130.93704
203,5.669,3173.23521
204,5.709,3248.69356
205,5.722,3282.59565
206,5.719,3179.44364
207,5.723,3124.79436
208,5.724,3202.98292
209,5.721,3343.38194
210,5.721,3150.55485
211,5.719,3130.19678
212,5.718,3262.29729
213,5.719,3179.91899
214,5.722,3232.04769
215,5.72,3176.70615
216,5.72,3169.40387
217,5.719,3175.80359
218,5.72,3184.81197
219,5.72,3325.97701
220,5.925,36946.5778
221,1.335,32424.3815
222,0.749,31967.6911
223,0.75,31122.5577
224,0.75,31448.4463
225,0.75,31166.7081
226,0.75,31046.5741
227,0.75,30777.1724
228,0.749,29786.674
229,0.75,29959.3274
230,0.749,29851.6946
231,0.82,21106.4631
232,0.975,27211.4449
233,1.188,3215.39954
234,4.839,3184.20843
235,5.735,3101.745
236,5.725,3059.55561
237,5.726,3163.23557
238,5.724,3191.22336
239,5.727,3085.45526
240,5.729,3125.67243
241,5.73,3156.063
242,5.729,3023.19632
243,5.727,3107.87634
244,5.726,2971.04338
245,5.726,3097.67777
246,5.726,3229.01515
247,5.738,3085.99824
248,5.727,3126.86009
249,5.86,3377.71922
250,5.403,33813.9488
251,0.795,32659.315
252,0.749,31976.7448
253,0.749,32028.0765
254,0.748,31826.1225
255,0.749,31182.0124
256,0.748,31092.19
257,0.748,30332.6409
258,0.748,30446.4157
259,0.748,30087.0032
260,0.748,29972.2356
261,0.748,28354.9743
262,0.748,20498.9799
263,0.928,15056.6229
264,1.188,18942.1587
265,1.106,28536.9254
266,1.185,6159.29706
267,1.201,3287.53819
268,5.76,3183.01319
269,5.735,3100.94345
270,5.74,3142.88486
271,5.739,3007.92452
272,5.74,2995.77311
273,5.739,3066.88892
274,5.74,3055.41248
275,5.739,3047.29483
276,5.74,3096.66883
277,5.738,3057.66866
278,5.738,3160.48982
279,5.738,3038.81137
280,5.739,2936.48713
281,5.739,3020.21933
282,5.738,3151.70869
283,5.739,2964.79692
284,5.739,4063.94476
285,5.665,36964.7081
286,0.737,34595.1273
287,0.742,32917.7059
288,0.742,31427.5912
289,0.742,30812.8248
290,0.742,30534.3792
291,0.742,30937.7531
292,0.742,30782.187
293,0.742,30841.7447
294,0.742,31056.765
295,0.742,30519.8157
296,0.742,21427.3619
297,0.886,19612.097
298,0.987,9095.28651
299,0.889,3476.36665
300,3.591,3304.79032
301,5.702,3231.09231
302,5.72,3218.15268
303,5.698,3265.60163
304,5.705,3166.06414
305,5.709,3067.77929
306,5.706,3014.08349
307,5.711,3099.43969
308,5.709,3117.8709
309,5.71,3057.36802
310,5.708,3237.24304
311,5.707,3151.11156
312,5.707,3103.63804
313,5.708,3106.91216
314,5.708,3056.2056
315,5.708,3004.77151
316,5.707,3215.34005
317,5.707,3141.14367
318,5.708,3204.02419
319,5.707,3110.02644
320,5.707,3056.06309
321,5.707,3448.63885
322,5.854,36711.7809
323,0.887,35141.6224
324,0.747,32824.5493
325,0.748,31233.688
326,0.747,31020.5786
327,0.747,30648.9905
328,0.748,30134.8325
329,0.748,29439.5511
330,0.748,28962.732
331,0.748,29189.0695
332,0.748,28902.7191
333,0.747,28956.9613
334,0.747,29382.4514
335,1.215,24839.0204
336,1.18,6928.48131
337,0.983,3080.24771
338,5.504,3270.57203
339,5.739,3204.91279
340,5.693,3307.12168
341,5.709,3140.0042
342,5.704,3182.5098
343,5.706,3193.87731
344,5.706,3116.75583
345,5.705,3100.5695
346,5.706,3083.37005
347,5.705,3205.04745
348,5.707,3107.38695
349,5.705,3110.57283
350,5.705,3198.25161
351,5.704,3067.95402
352,5.705,3072.37936
353,5.705,3028.26944
354,5.705,2981.32521
355,5.704,3125.40324
356,5.705,2982.06914
357,5.704,3162.79774
358,5.932,7303.94747
359,5.566,34234.0293
360,0.746,34035.0506
361,0.749,32036.4205
362,0.749,31115.8863
363,0.749,30306.9754
364,0.749,29949.1867
365,0.749,29455.705
366,0.749,29833.9697
367,0.749,29863.1308
368,0.749,30107.7148
369,0.749,29480.0985
370,0.749,28842.0826
371,0.749,29123.8798
372,0.749,29805.057
373,0.842,15318.224
374,1.263,9694.52059
375,1.935,39269.1861
376,2.077,3591.00436
377,5.765,3087.40387
378,5.756,3052.62132
379,5.713,3234.97601
380,5.736,3101.53325
381,5.727,3059.22423
382,5.732,3085.27469
383,5.731,3084.57629
384,5.734,2999.94507
385,5.734,3027.86657
386,5.734,3097.24225
387,5.734,3054.29322
388,5.733,3016.66201
389,5.732,3162.50823
390,5.731,2930.22569
391,5.732,3005.05642
392,5.732,3187.99968
393,5.731,3067.69474
394,5.731,2996.74721
395,5.732,3110.70931
396,5.731,3122.32853
397,5.731,3167.51686
398,5.732,3145.79749
399,5.732,3101.48546
400,5.732,3224.48941
401,5.732,3466.70207
402,5.719,41290.8045
403,2.869,34799.1425
404,0.757,34422.6969
405,0.758,34320.4462
406,0.758,32212.6418
407,0.758,31324.7981
408,0.758,31601.6179
409,0.758,31235.0111
410,0.758,30203.3415
411,0.758,29750.8586
412,0.758,29839.5977
413,0.758,29172.4672
414,0.758,29130.1837
415,0.758,29133.7327
416,0.758,29142.3003
417,0.758,23458.6312
418,0.951,8552.86023
419,0.886,2953.98844
420,5.023,3108.89006
421,5.727,3236.02009
422,5.745,3047.46926
423,5.734,3026.5566
424,5.737,3130.0133
425,5.737,3126.47956
426,5.738,2985.36961
427,5.738,3043.75369
428,5.74,3137.73619
429,5.74,3094.27565
430,5.739,3101.36482
431,5.738,3111.17916
432,5.738,3216.55969
433,5.738,3121.27489
434,5.739,2926.17819
435,5.737,3182.10672
436,5.737,3155.85807
437,5.737,3214.22211
438,5.737,3165.53677
439,5.736,3066.66714
440,5.737,3200.62307
441,5.737,4201.00478
442,5.638,35321.0785
443,0.73,33525.47
444,0.759,32273.9255
445,0.759,31962.7704
446,0.759,31637.9147
447,0.759,31091.2725
448,0.759,31125.9477
449,0.759,30750.1535
450,0.759,30401.4913
451,0.759,30435.1546
452,0.759,30331.6261
453,0.759,29840.1884
454,0.759,29200.9782
455,0.759,29421.3906
456,0.786,10121.6987
457,1.363,8330.71035
458,3.066,3151.53288
459,5.792,3285.84138
460,5.762,3177.16057
461,5.749,3131.32982
462,5.74,3086.17268
463,5.745,3300.85181
464,5.738,2990.77336
465,5.742,3202.2928
466,5.738,3187.62406
