Sensor, Timestamp, Value
LoadCell, 2024-05-02 18:38:36.091801, None
DMM, 2024-05-02 18:38:36.091801, 1316312.59
LoadCell, 2024-05-02 18:38:36.784006, 0.00412
DMM, 2024-05-02 18:38:36.784006, 1312666.07
LoadCell, 2024-05-02 18:38:36.814873, None
DMM, 2024-05-02 18:38:36.814873, 1313628.28
LoadCell, 2024-05-02 18:38:36.834094, None
DMM, 2024-05-02 18:38:36.834094, 1313835.9
LoadCell, 2024-05-02 18:38:36.853965, None
DMM, 2024-05-02 18:38:36.853965, 1311300.72
LoadCell, 2024-05-02 18:38:36.874567, None
DMM, 2024-05-02 18:38:36.874567, 1308313.14
LoadCell, 2024-05-02 18:38:36.895304, 0.004
DMM, 2024-05-02 18:38:36.895304, 1306051.72
LoadCell, 2024-05-02 18:38:36.914042, None
DMM, 2024-05-02 18:38:36.914042, 1305781.59
LoadCell, 2024-05-02 18:38:36.934731, None
DMM, 2024-05-02 18:38:36.934731, 1301893.09
LoadCell, 2024-05-02 18:38:36.956193, None
DMM, 2024-05-02 18:38:36.956193, 1305856.67
LoadCell, 2024-05-02 18:38:36.974818, None
DMM, 2024-05-02 18:38:36.974818, 1307594.87
LoadCell, 2024-05-02 18:38:36.994195, 0.0041
DMM, 2024-05-02 18:38:36.994195, 1308036.76
LoadCell, 2024-05-02 18:38:37.014381, None
DMM, 2024-05-02 18:38:37.014381, 1312110.63
LoadCell, 2024-05-02 18:38:37.034961, None
DMM, 2024-05-02 18:38:37.034961, 1313266.63
LoadCell, 2024-05-02 18:38:37.053881, None
DMM, 2024-05-02 18:38:37.053881, 1308553.59
LoadCell, 2024-05-02 18:38:37.074738, None
DMM, 2024-05-02 18:38:37.074738, 1310391.55
LoadCell, 2024-05-02 18:38:37.094863, 0.004
DMM, 2024-05-02 18:38:37.094863, 1313197.81
LoadCell, 2024-05-02 18:38:37.113775, None
DMM, 2024-05-02 18:38:37.113775, 1315627.49
LoadCell, 2024-05-02 18:38:37.134423, None
DMM, 2024-05-02 18:38:37.134423, 1318685.7
LoadCell, 2024-05-02 18:38:37.153780, None
DMM, 2024-05-02 18:38:37.153780, 1316335.41
LoadCell, 2024-05-02 18:38:37.174673, None
DMM, 2024-05-02 18:38:37.174673, 1312010.12
LoadCell, 2024-05-02 18:38:37.194720, 0.00412
DMM, 2024-05-02 18:38:37.194720, 1316719.71
LoadCell, 2024-05-02 18:38:37.214671, None
DMM, 2024-05-02 18:38:37.214671, 1313655.52
LoadCell, 2024-05-02 18:38:37.234646, None
DMM, 2024-05-02 18:38:37.234646, 1306461.56
LoadCell, 2024-05-02 18:38:37.254914, None
DMM, 2024-05-02 18:38:37.254914, 1312975.77
LoadCell, 2024-05-02 18:38:37.273882, None
DMM, 2024-05-02 18:38:37.273882, 1315204.12
LoadCell, 2024-05-02 18:38:37.295401, 0.00408
DMM, 2024-05-02 18:38:37.295401, 1307722.67
LoadCell, 2024-05-02 18:38:37.314336, None
DMM, 2024-05-02 18:38:37.314336, 1307879.66
LoadCell, 2024-05-02 18:38:37.334270, None
DMM, 2024-05-02 18:38:37.334270, 1306443.05
LoadCell, 2024-05-02 18:38:37.354901, None
DMM, 2024-05-02 18:38:37.354901, 1305464.88
LoadCell, 2024-05-02 18:38:37.373961, None
DMM, 2024-05-02 18:38:37.373961, 1307033.55
LoadCell, 2024-05-02 18:38:37.397123, 0.00399
DMM, 2024-05-02 18:38:37.397123, 1303653.88
LoadCell, 2024-05-02 18:38:37.413649, None
DMM, 2024-05-02 18:38:37.413649, 1298239.94
LoadCell, 2024-05-02 18:38:37.434894, None
DMM, 2024-05-02 18:38:37.434894, 1299681.96
LoadCell, 2024-05-02 18:38:37.454208, None
DMM, 2024-05-02 18:38:37.454208, 1300736.34
LoadCell, 2024-05-02 18:38:37.475841, None
DMM, 2024-05-02 18:38:37.475841, 1302804.51
LoadCell, 2024-05-02 18:38:37.494204, 0.00399
DMM, 2024-05-02 18:38:37.494204, 1304087.38
LoadCell, 2024-05-02 18:38:37.514053, None
DMM, 2024-05-02 18:38:37.514053, 1302180.28
LoadCell, 2024-05-02 18:38:37.534755, None
DMM, 2024-05-02 18:38:37.534755, 1308793.24
LoadCell, 2024-05-02 18:38:37.554505, None
DMM, 2024-05-02 18:38:37.554505, 1308960.55
LoadCell, 2024-05-02 18:38:37.574689, None
DMM, 2024-05-02 18:38:37.574689, 1311210.96
LoadCell, 2024-05-02 18:38:37.594776, 0.00403
DMM, 2024-05-02 18:38:37.594776, 1317185.33
LoadCell, 2024-05-02 18:38:37.616900, None
DMM, 2024-05-02 18:38:37.616900, 1317442.96
