Sensor, Timestamp, Value
LoadCell, 2024-05-02 19:03:28.108796, None
DMM, 2024-05-02 19:03:28.108796, 1090161.72
LoadCell, 2024-05-02 19:03:28.797172, 0.00107
DMM, 2024-05-02 19:03:28.797172, 1086557.86
LoadCell, 2024-05-02 19:03:28.811341, None
DMM, 2024-05-02 19:03:28.811341, 1086991.02
LoadCell, 2024-05-02 19:03:28.830673, None
DMM, 2024-05-02 19:03:28.830673, 1087561.27
LoadCell, 2024-05-02 19:03:28.850606, None
DMM, 2024-05-02 19:03:28.850606, 1084230.97
LoadCell, 2024-05-02 19:03:28.873524, None
DMM, 2024-05-02 19:03:28.873524, 1084090.23
LoadCell, 2024-05-02 19:03:28.891466, 0.00102
DMM, 2024-05-02 19:03:28.891466, 1082907.34
LoadCell, 2024-05-02 19:03:28.910402, None
DMM, 2024-05-02 19:03:28.910402, 1082626.26
LoadCell, 2024-05-02 19:03:28.930936, None
DMM, 2024-05-02 19:03:28.930936, 1084250.15
LoadCell, 2024-05-02 19:03:28.951174, None
DMM, 2024-05-02 19:03:28.951174, 1083082.3
LoadCell, 2024-05-02 19:03:28.972455, None
DMM, 2024-05-02 19:03:28.972455, 1081342.43
LoadCell, 2024-05-02 19:03:28.991449, 0.00108
DMM, 2024-05-02 19:03:28.991449, 1078531.57
LoadCell, 2024-05-02 19:03:29.010558, None
DMM, 2024-05-02 19:03:29.010558, 1077464.66
LoadCell, 2024-05-02 19:03:29.031223, None
DMM, 2024-05-02 19:03:29.031223, 1077939.67
LoadCell, 2024-05-02 19:03:29.051537, None
DMM, 2024-05-02 19:03:29.051537, 1078391.7
LoadCell, 2024-05-02 19:03:29.070314, None
DMM, 2024-05-02 19:03:29.070314, 1077938.81
LoadCell, 2024-05-02 19:03:29.092345, 0.00105
DMM, 2024-05-02 19:03:29.092345, 1079001.05
LoadCell, 2024-05-02 19:03:29.111287, None
DMM, 2024-05-02 19:03:29.111287, 1078611.83
LoadCell, 2024-05-02 19:03:29.131869, None
DMM, 2024-05-02 19:03:29.131869, 1084252.95
LoadCell, 2024-05-02 19:03:29.150446, None
DMM, 2024-05-02 19:03:29.150446, 1080194.1
LoadCell, 2024-05-02 19:03:29.170225, None
DMM, 2024-05-02 19:03:29.170225, 1079830.73
LoadCell, 2024-05-02 19:03:29.193545, 0.00101
DMM, 2024-05-02 19:03:29.193545, 1080246.3
LoadCell, 2024-05-02 19:03:29.210828, None
DMM, 2024-05-02 19:03:29.210828, 1079670.25
LoadCell, 2024-05-02 19:03:29.231127, None
DMM, 2024-05-02 19:03:29.231127, 1080425.8
LoadCell, 2024-05-02 19:03:29.251289, None
DMM, 2024-05-02 19:03:29.251289, 1081392.03
LoadCell, 2024-05-02 19:03:29.271183, None
DMM, 2024-05-02 19:03:29.271183, 1080724.17
LoadCell, 2024-05-02 19:03:29.290877, 0.00105
DMM, 2024-05-02 19:03:29.290877, 1080636.43
LoadCell, 2024-05-02 19:03:29.312505, None
DMM, 2024-05-02 19:03:29.312505, 1080627.55
LoadCell, 2024-05-02 19:03:29.331023, None
DMM, 2024-05-02 19:03:29.331023, 1081935.7
LoadCell, 2024-05-02 19:03:29.351223, None
DMM, 2024-05-02 19:03:29.351223, 1082332.82
LoadCell, 2024-05-02 19:03:29.371429, None
DMM, 2024-05-02 19:03:29.371429, 1083333.41
LoadCell, 2024-05-02 19:03:29.391455, 0.00103
DMM, 2024-05-02 19:03:29.391455, 1082329.42
LoadCell, 2024-05-02 19:03:29.412744, None
DMM, 2024-05-02 19:03:29.412744, 1080659.81
LoadCell, 2024-05-02 19:03:29.431708, None
DMM, 2024-05-02 19:03:29.431708, 1080252.01
LoadCell, 2024-05-02 19:03:29.450452, None
DMM, 2024-05-02 19:03:29.450452, 1081523.7
LoadCell, 2024-05-02 19:03:29.470687, None
DMM, 2024-05-02 19:03:29.470687, 1083310.46
LoadCell, 2024-05-02 19:03:29.491709, 0.00101
DMM, 2024-05-02 19:03:29.491709, 1081785.37
LoadCell, 2024-05-02 19:03:29.510338, None
DMM, 2024-05-02 19:03:29.510338, 1080772.05
LoadCell, 2024-05-02 19:03:29.532649, None
DMM, 2024-05-02 19:03:29.532649, 1082139.74
LoadCell, 2024-05-02 19:03:29.550990, None
