Sensor, Timestamp, Value
LoadCell, 2024-05-02 19:37:32.160670, None
DMM, 2024-05-02 19:37:32.160670, 654203.803
LoadCell, 2024-05-02 19:37:32.863701, 4e-05
DMM, 2024-05-02 19:37:32.863701, 663930.91
LoadCell, 2024-05-02 19:37:32.884909, None
DMM, 2024-05-02 19:37:32.884909, 663850.473
LoadCell, 2024-05-02 19:37:32.903857, None
DMM, 2024-05-02 19:37:32.903857, 664111.388
LoadCell, 2024-05-02 19:37:32.925064, None
DMM, 2024-05-02 19:37:32.925064, 664261.716
LoadCell, 2024-05-02 19:37:32.943936, None
DMM, 2024-05-02 19:37:32.943936, 664684.822
LoadCell, 2024-05-02 19:37:32.963443, 2e-05
DMM, 2024-05-02 19:37:32.963443, 664931.473
LoadCell, 2024-05-02 19:37:32.984465, None
DMM, 2024-05-02 19:37:32.984465, 665520.616
LoadCell, 2024-05-02 19:37:33.004196, None
DMM, 2024-05-02 19:37:33.004196, 665573.667
LoadCell, 2024-05-02 19:37:33.025982, None
DMM, 2024-05-02 19:37:33.025982, 666415.966
LoadCell, 2024-05-02 19:37:33.043441, None
DMM, 2024-05-02 19:37:33.043441, 667398.528
LoadCell, 2024-05-02 19:37:33.063559, 4e-05
DMM, 2024-05-02 19:37:33.063559, 666250.203
LoadCell, 2024-05-02 19:37:33.084304, None
DMM, 2024-05-02 19:37:33.084304, 667270.143
LoadCell, 2024-05-02 19:37:33.104567, None
DMM, 2024-05-02 19:37:33.104567, 667019.637
LoadCell, 2024-05-02 19:37:33.124043, None
DMM, 2024-05-02 19:37:33.124043, 667218.86
LoadCell, 2024-05-02 19:37:33.143446, None
DMM, 2024-05-02 19:37:33.143446, 666841.631
LoadCell, 2024-05-02 19:37:33.164252, 0.0
DMM, 2024-05-02 19:37:33.164252, 663985.395
LoadCell, 2024-05-02 19:37:33.190657, None
DMM, 2024-05-02 19:37:33.190657, 664019.532
LoadCell, 2024-05-02 19:37:33.224434, None
DMM, 2024-05-02 19:37:33.224434, 664679.245
