Force (lbf),Resistance (Ohms)
5.51436,4536.99041
5.51912,4305.52748
5.52297,4184.56529
5.52003,4194.44993
5.52241,4239.65052
5.51995,4055.23312
5.52236,4146.49434
5.52232,3965.68637
5.51426,3948.59415
5.51637,3982.5136
5.51453,4057.26187
5.51669,3846.21721
5.50728,4058.68615
5.50461,3975.37184
5.50498,3964.16632
5.50459,3912.43434
5.50965,3919.97548
5.50902,4071.79917
5.50936,4011.9359
5.50527,3942.84823
5.51393,4037.18538
5.50909,4031.09828
5.52185,3903.13681
5.51316,4158.4583
5.51769,3939.68847
5.51811,3937.0486
5.51959,4124.55557
5.52021,4024.43389
5.51556,4294.37578
