,0
0,load
1,0.005
2,0.005
3,0.005
4,0.005
5,0.005
6,0.005
7,0.005
8,0.005
9,0.005
10,0.005
11,0.005
12,0.005
13,0.005
14,0.005
15,0.005
16,0.005
17,0.005
18,0.005
19,0.005
20,0.005
21,0.005
22,0.005
23,0.005
24,0.005
25,0.005
26,0.005
27,0.005
28,0.005
29,0.005
30,0.005
31,0.005
32,0.005
33,0.005
34,0.005
35,0.005
36,0.005
37,0.005
38,0.005
39,0.005
40,0.005
41,0.005
42,0.005
43,0.005
44,0.005
45,0.005
46,0.005
47,0.005
48,0.005
49,0.005
50,0.005
51,0.005
52,0.005
53,0.005
54,0.005
55,0.005
56,0.005
57,0.005
58,0.005
59,0.005
60,0.005
61,0.005
62,0.005
63,0.005
64,0.005
65,0.005
66,0.005
67,0.005
68,0.005
69,0.005
70,0.005
71,0.005
72,0.005
73,0.005
74,0.005
75,0.005
76,0.005
77,0.005
78,0.005
79,0.005
80,0.005
81,0.005
82,0.005
83,0.005
84,0.005
85,0.005
86,0.005
87,0.005
88,0.005
89,0.005
90,0.005
91,0.005
92,0.005
93,0.005
94,0.005
95,0.005
96,0.005
97,0.005
98,0.157
99,0.233
100,0.236
101,0.243
102,0.247
103,0.255
104,0.26
105,0.265
106,0.272
107,0.279
108,0.281
109,0.283
110,0.29
111,0.306
112,0.309
113,0.311
114,0.313
115,0.314
116,0.318
117,0.326
118,0.337
119,0.342
120,0.345
121,0.35
122,0.354
123,0.362
124,0.369
125,0.377
126,0.381
127,0.387
128,0.389
129,0.392
130,0.396
131,0.41
132,0.422
133,0.427
134,0.429
135,0.432
136,0.432
137,0.432
138,0.432
139,0.433
140,0.434
141,0.436
142,0.439
143,0.446
144,0.454
145,0.463
146,0.474
147,0.484
148,0.494
149,0.5
150,0.504
151,0.511
152,0.516
153,0.521
154,0.524
155,0.53
156,0.533
157,0.542
158,0.55
159,0.557
160,0.563
161,0.567
162,0.57
163,0.576
164,0.585
165,0.594
166,0.603
167,0.608
168,0.613
169,0.618
170,0.623
171,0.628
172,0.633
173,0.635
174,0.642
175,0.657
176,0.665
177,0.667
178,0.67
179,0.673
180,0.674
181,0.675
182,0.678
183,0.681
184,0.683
185,0.687
186,0.692
187,0.699
188,0.707
189,0.716
190,0.721
191,0.724
192,0.728
193,0.734
194,0.748
195,0.756
196,0.767
197,0.776
