,0
0,ohms
1,348750.002
2,347854.52
3,348933.076
4,349517.637
5,348889.888
6,347949.092
7,349303.433
8,350176.725
9,348990.998
10,349219.155
11,349119.634
12,348663.015
13,349273.099
14,348842.923
15,348042.239
16,348731.891
17,349586.706
18,350168.597
19,350344.546
20,350748.706
21,350648.46
22,351126.707
23,350846.168
24,351882.355
25,352680.725
26,351863.645
27,352009.155
28,351357.859
29,351792.916
30,351437.471
31,351396.071
32,351617.025
33,352070.908
34,351650.942
35,351282.548
36,351095.005
37,351757.37
38,351688.912
39,351951.653
40,351774.176
41,351531.73
42,352697.223
43,351289.761
44,349890.545
45,351771.807
46,352287.457
47,350877.605
48,350138.624
49,350377.905
50,350507.364
51,350657.296
52,351354.181
53,351512.031
54,351879.652
55,351682.954
56,351926.606
57,353335.062
58,353041.852
59,353675.343
60,352510.952
61,353063.429
62,351500.971
63,351162.511
64,351528.032
65,352162.094
66,353022.083
67,352174.591
68,352560.939
69,351250.141
70,351681.499
71,352115.727
72,351284.262
73,352405.521
74,352391.601
75,352632.705
76,349077.246
77,349204.698
78,349409.368
79,349106.098
80,349180.219
81,349103.956
82,348823.798
83,348948.011
84,349864.742
85,349999.957
86,349741.819
87,349910.294
88,350257.984
89,349833.866
90,349883.822
91,349121.973
92,349679.787
93,350780.848
94,350799.361
95,351394.337
96,350504.421
97,277500.732
98,254454.41
99,241513.527
100,233623.317
101,229986.357
102,220970.863
103,220856.188
104,217634.328
105,213143.617
106,214700.527
107,210437.191
108,205727.8
109,202999.094
110,192106.386
111,183775.931
112,171040.149
113,169666.245
114,169768.46
115,166882.248
116,157254.255
117,150169.209
118,147098.359
119,144144.45
120,140433.254
121,137451.463
122,133169.833
123,131331.891
124,128744.582
125,125957.84
126,123582.444
127,121566.974
128,119639.225
129,118089.782
130,115335.004
131,111242.818
132,105826.167
133,106188.868
134,105200.99
135,105225.554
136,104950.452
137,104540.599
138,104039.193
139,104097.157
140,103932.473
141,102708.829
142,101612.518
143,99617.5065
144,96670.9976
145,94707.6005
146,93357.8019
147,90415.3839
148,89477.5919
149,89293.5451
150,88686.4276
151,87529.3676
152,86860.903
153,86623.6365
154,86067.4028
155,85330.39
156,84023.0579
157,83389.3942
158,82458.0245
159,81932.3952
160,81674.5589
161,81167.5144
162,80629.7747
163,80078.2402
164,77938.965
165,76706.8944
166,75839.8104
167,74924.1331
168,73659.4659
169,71499.7969
170,70762.1038
171,70304.4585
172,69932.0761
173,68289.9442
174,67248.2899
175,66617.5719
176,65648.7808
177,65174.6225
178,64666.1392
179,63927.4084
180,63657.1398
181,63151.0387
182,63121.1519
183,62229.4061
184,61994.235
185,61014.5826
186,60783.3258
187,60198.7234
188,58418.9355
189,58116.0404
190,57685.9672
191,56279.2676
